¿¬¹ø,symbol,ÀÏÀÚ,½Ã°£,¼öÀÍ·ü,½Â·ü
1,ETH,4/8/2024,13:00,27.31,70.21
2,ETH,4/9/2024,13:00,30.43,70.83
3,ETH,4/10/2024,13:00,31.89,70.9
4,ETH,4/11/2024,13:00,30.9,70.56
5,ETH,4/12/2024,-,-,-
6,ETH,4/13/2024,13:00,38.12,71.26
7,ETH,4/14/2024,13:00,35.92,70.61
8,ETH,4/15/2024,15:15,35.09,70
9,ETH,4/16/2024,11:00,34.89,69.96
10,ETH,4/17/2024,11:00,35.95,70.14
11,ETH,4/18/2024,13:00,37.68,70.32
12,ETH,4/19/2024,11:00,34.27,69.55
13,ETH,4/20/2024,11:00,32.99,69.18
14,ETH,4/21/2024,12:30,32.85,69.15
15,ETH,4/22/2024,-,-,-
16,ETH,4/23/2024,12:30,23.72,69.06
17,ETH,4/24/2024,-,-,-
18,ETH,4/25/2024,-,-,-
19,ETH,4/26/2024,11:00,22.3,68.4
20,ETH,4/27/2024,-,-,-
21,ETH,4/28/2024,-,-,-
22,ETH,4/29/2024,11:00,25.5,69.04
23,ETH,4/30/2024,11:00,25.59,68.85
24,ETH,5/1/2024,11:00,27.75,69.2
25,ETH,5/2/2024,-,-,-
26,ETH,5/3/2024,-,-,-
27,ETH,5/4/2024,16:00,23.6,67.94
28,ETH,5/5/2024,13:00,23.54,67.8
29,ETH,5/6/2024,-,-,-
30,ETH,5/7/2024,10:00,25.26,68.15
31,ETH,5/8/2024,11:00,25.28,68
